"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,1,2.7129462
0,2,7.8301773
0,3,13.107035
0,4,18.25343
0,5,23.23394
0,6,28.031952
0,7,32.63019
0,8,37.01561
0,9,41.18202
0,10,45.129547
0,11,46.15039
0,12,44.561813
0,13,42.619293
0,14,40.62493
0,15,38.626743
0,16,36.654007
0,17,34.73639
0,18,32.89882
0,19,31.158806
0,20,29.526814
0,21,28.007494
0,22,26.60133
0,23,25.30593
0,24,24.116907
0,25,23.028625
0,26,22.034775
0,27,21.128721
0,28,20.303751
0,29,19.553286
0,30,18.870985
0,31,18.250816
0,32,17.687115
0,33,17.174612
0,34,16.708443
0,35,16.284132
0,36,15.89758
0,37,15.54505
0,38,15.223138
0,39,14.928751
0,40,14.659108
0,41,14.411674
0,42,14.184203
0,43,13.974639
0,44,13.78116
0,45,13.602106
0,46,13.435993
0,47,13.281483
0,48,13.137383
0,49,13.00262
0,50,12.87624
0,51,12.757387
0,52,12.645298
0,53,12.539294
0,54,12.438764
0,55,12.343148
0,56,12.251982
0,57,12.164819
0,58,12.081234
0,59,12.000913
0,60,11.923533
0,61,11.848776
0,62,11.776422
0,63,11.7062435
0,64,11.6380205
0,65,11.571587
0,66,11.506789
0,67,11.443476
0,68,11.381527
0,69,11.320829
0,70,11.261277
0,71,11.202784
0,72,11.145267
0,73,11.088644
0,74,11.032854
0,75,10.977837
0,76,10.923532
0,77,10.869891
0,78,10.816876
0,79,10.764441
0,80,10.712552
0,81,10.6611805
0,82,10.610296
0,83,10.559873
0,84,10.50989
0,85,10.460324
0,86,10.411158
0,87,10.362374
0,88,10.313955
0,89,10.265889
0,90,10.218165
0,91,10.170768
0,92,10.123685
0,93,10.076902
0,94,10.030426
0,95,9.98424
0,96,9.938332
0,97,9.892691
0,98,9.847313
0,99,9.802204
0,100,9.757349
0,101,9.71274
0,102,9.668371
0,103,9.624247
0,104,9.5803585
0,105,9.536704
0,106,9.493278
0,107,9.450079
0,108,9.407104
0,109,9.36435
0,110,9.321816
0,111,9.2795
0,112,9.237398
0,113,9.195509
0,114,9.15383
0,115,9.112358
0,116,9.071093
0,117,9.030032
0,118,8.989174
0,119,8.948516
0,120,8.908055
0,121,8.867792
0,122,8.8277235
0,123,8.787849
0,124,8.748167
0,125,8.708674
0,126,8.669372
0,127,8.630257
0,128,8.59133
0,129,8.5525875
0,130,8.5140295
0,131,8.475655
0,132,8.437463
0,133,8.399452
0,134,8.361621
0,135,8.323969
0,136,8.286495
0,137,8.249197
0,138,8.212075
0,139,8.175128
0,140,8.138355
0,141,8.101754
0,142,8.065325
0,143,8.029066
0,144,7.9929776
0,145,7.9570575
0,146,7.921305
0,147,7.88572
0,148,7.8503
0,149,7.815045
0,150,7.7799544
0,151,7.7450275
0,152,7.710263
0,153,7.675659
0,154,7.6412163
0,155,7.606933
0,156,7.572809
0,157,7.5388436
0,158,7.505035
0,159,7.471383
0,160,7.4378867
0,161,7.404546
0,162,7.371359
0,163,7.3383255
0,164,7.3054442
0,165,7.2727156
0,166,7.2401376
0,167,7.20771
0,168,7.175432
0,169,7.143303
0,170,7.1113224
0,171,7.0794888
0,172,7.047802
0,173,7.016261
0,174,6.9848657
0,175,6.953614
0,176,6.922507
0,177,6.8915424
0,178,6.8607206
0,179,6.830041
0,180,6.799502
0,181,6.7691035
0,182,6.738845
0,183,6.708725
0,184,6.6787434
0,185,6.648899
0,186,6.6191916
0,187,6.58962
0,188,6.5601845
0,189,6.530883
0,190,6.501715
0,191,6.4726825
0,192,6.4437833
0,193,6.4150167
0,194,6.3863816
0,195,6.3578777
0,196,6.3295045
0,197,6.3012605
0,198,6.273146
0,199,6.2451596
0,200,6.217301
0,201,6.189569
0,202,6.1619635
0,203,6.1344833
0,204,6.107128
0,205,6.0798993
0,206,6.052796
0,207,6.025816
0,208,5.998959
0,209,5.9722247
0,210,5.9456124
0,211,5.9191213
0,212,5.8927503
0,213,5.8665
0,214,5.8403687
0,215,5.8143563
0,216,5.788462
0,217,5.7626853
0,218,5.7370257
0,219,5.711484
0,220,5.6860585
