"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,1,2.7126608
0,2,7.8297386
0,3,13.106528
0,4,18.25289
0,5,23.233389
0,6,28.031414
0,7,32.62969
0,8,37.01516
0,9,41.181637
0,10,45.129253
0,11,46.15048
0,12,44.56216
0,13,42.61982
0,14,40.62561
0,15,38.627556
0,16,36.654934
0,17,34.737408
0,18,32.899914
0,19,31.159958
0,20,29.528008
0,21,28.00872
0,22,26.602577
0,23,25.307188
0,24,24.118172
0,25,23.029888
0,26,22.036032
0,27,21.129969
0,28,20.304985
0,29,19.554504
0,30,18.872187
0,31,18.252
0,32,17.68828
0,33,17.17576
0,34,16.709572
0,35,16.285242
0,36,15.898674
0,37,15.546126
0,38,15.224197
0,39,14.929795
0,40,14.660137
0,41,14.412687
0,42,14.185203
0,43,13.975627
0,44,13.782136
0,45,13.60307
0,46,13.436948
0,47,13.282427
0,48,13.138319
0,49,13.003548
0,50,12.87716
0,51,12.7583
0,52,12.646204
0,53,12.5401945
0,54,12.439659
0,55,12.344039
0,56,12.252869
0,57,12.165701
0,58,12.082113
0,59,12.001788
0,60,11.924406
0,61,11.849647
0,62,11.777289
0,63,11.707109
0,64,11.638885
0,65,11.57245
0,66,11.50765
0,67,11.444337
0,68,11.382386
0,69,11.321688
0,70,11.2621355
0,71,11.203642
0,72,11.146124
0,73,11.089501
0,74,11.0337105
0,75,10.978693
0,76,10.924388
0,77,10.870748
0,78,10.817733
0,79,10.765298
0,80,10.713409
0,81,10.662038
0,82,10.611154
0,83,10.560731
0,84,10.510748
0,85,10.461183
0,86,10.412017
0,87,10.363233
0,88,10.314815
0,89,10.266748
0,90,10.219025
0,91,10.171629
0,92,10.124546
0,93,10.077764
0,94,10.031288
0,95,9.985102
0,96,9.939194
0,97,9.893554
0,98,9.848177
0,99,9.803068
0,100,9.758213
0,101,9.713605
0,102,9.669236
0,103,9.625112
0,104,9.581224
0,105,9.53757
0,106,9.494144
0,107,9.450945
0,108,9.40797
0,109,9.365217
0,110,9.322684
0,111,9.280368
0,112,9.238266
0,113,9.196377
0,114,9.154697
0,115,9.113227
0,116,9.071961
0,117,9.030901
0,118,8.990043
0,119,8.949385
0,120,8.908925
0,121,8.868661
0,122,8.828593
0,123,8.788719
0,124,8.749037
0,125,8.709544
0,126,8.670241
0,127,8.631126
0,128,8.592198
0,129,8.553456
0,130,8.514899
0,131,8.476524
0,132,8.438333
0,133,8.400321
0,134,8.362491
0,135,8.324839
0,136,8.287364
0,137,8.250066
0,138,8.212944
0,139,8.175997
0,140,8.139223
0,141,8.102622
0,142,8.066193
0,143,8.029934
0,144,7.993845
0,145,7.957925
0,146,7.922172
0,147,7.886586
0,148,7.851166
0,149,7.815911
0,150,7.78082
0,151,7.7458925
0,152,7.7111273
0,153,7.6765237
0,154,7.6420803
0,155,7.607797
0,156,7.5736723
0,157,7.539706
0,158,7.505897
0,159,7.4722447
0,160,7.4387484
0,161,7.4054065
0,162,7.372219
0,163,7.339185
0,164,7.306304
0,165,7.2735744
0,166,7.240996
0,167,7.2085676
0,168,7.176289
0,169,7.14416
0,170,7.1121783
0,171,7.080344
0,172,7.048657
0,173,7.017115
0,174,6.9857187
0,175,6.954467
0,176,6.923359
0,177,6.892394
0,178,6.8615713
0,179,6.8308907
0,180,6.800351
0,181,6.7699523
0,182,6.7396927
0,183,6.709572
0,184,6.6795893
0,185,6.6497445
0,186,6.6200366
0,187,6.590464
0,188,6.5610275
0,189,6.5317254
0,190,6.502557
0,191,6.473523
0,192,6.444623
0,193,6.4158554
0,194,6.38722
0,195,6.358715
0,196,6.330341
0,197,6.3020964
0,198,6.2739806
0,199,6.2459936
0,200,6.218134
0,201,6.190401
0,202,6.1627946
0,203,6.135314
0,204,6.1079574
0,205,6.0807276
0,206,6.053623
0,207,6.0266423
0,208,5.9997845
0,209,5.973049
0,210,5.946436
0,211,5.9199433
0,212,5.893572
0,213,5.8673205
0,214,5.8411884
0,215,5.815175
0,216,5.7892795
0,217,5.763502
0,218,5.737841
0,219,5.7122984
0,220,5.686872
0,221,5.6615615
0,222,5.6363664
0,223,5.611285
0,224,5.586319
0,225,5.5614657
0,226,5.536726
0,227,5.5120983
0,228,5.4875827
0,229,5.463179
0,230,5.4388857
0,231,5.4147034
0,232,5.3906307
0,233,5.3666677
0,234,5.3428135
0,235,5.3190675
0,236,5.2954297
0,237,5.271899
0,238,5.248476
0,239,5.2251587
0,240,5.2019477
0,241,5.1788425
0,242,5.155842
0,243,5.132946
0,244,5.110154
0,245,5.0874662
0,246,5.064881
0,247,5.0423985
0,248,5.0200176
0,249,4.9977384
0,250,4.9755607
0,251,4.9534836
0,252,4.931506
0,253,4.909629
0,254,4.887851
0,255,4.866172
0,256,4.8445907
0,257,4.8231077
0,258,4.801722
0,259,4.780433
0,260,4.759241
0,261,4.7381454
0,262,4.717145
0,263,4.6962395
0,264,4.6754293
0,265,4.654713
0,266,4.6340904
0,267,4.6135616
0,268,4.5931253
0,269,4.572782
0,270,4.5525303
0,271,4.5323706
0,272,4.512302
0,273,4.492324
0,274,4.4724364
0,275,4.452639
0,276,4.4329314
0,277,4.413313
0,278,4.393783
0,279,4.3743415
0,280,4.354988
0,281,4.335722
0,282,4.316543
0,283,4.297451
0,284,4.278445
0,285,4.259525
0,286,4.2406907
0,287,4.2219415
0,288,4.2032766
0,289,4.1846967
0,290,4.1662
0,291,4.1477876
0,292,4.129458
0,293,4.1112113
0,294,4.093047
0,295,4.074965
0,296,4.056965
0,297,4.039046
0,298,4.021208
0,299,4.0034504
0,300,3.985773
0,301,3.9681756
0,302,3.9506578
0,303,3.933219
0,304,3.9158587
0,305,3.898577
0,306,3.8813732
0,307,3.864247
0,308,3.8471982
0,309,3.8302264
0,310,3.8133311
0,311,3.7965121
0,312,3.7797692
0,313,3.7631016
0,314,3.746509
0,315,3.7299917
0,316,3.7135487
0,317,3.6971798
0,318,3.6808848
0,319,3.6646633
0,320,3.648515
0,321,3.6324394
0,322,3.6164362
0,323,3.6005054
0,324,3.5846462
0,325,3.5688584
0,326,3.5531418
0,327,3.5374959
0,328,3.5219204
0,329,3.5064154
0,330,3.4909801
0,331,3.4756143
0,332,3.4603179
0,333,3.44509
0,334,3.429931
0,335,3.4148402
0,336,3.3998172
0,337,3.384862
0,338,3.3699741
0,339,3.355153
0,340,3.3403988
0,341,3.325711
0,342,3.3110893
0,343,3.2965333
0,344,3.2820427
0,345,3.2676175
0,346,3.2532573
0,347,3.2389615
0,348,3.22473
0,349,3.2105625
0,350,3.1964588
0,351,3.1824186
0,352,3.1684413
0,353,3.154527
0,354,3.1406753
0,355,3.126886
0,356,3.1131585
0,357,3.0994928
0,358,3.0858884
0,359,3.0723453
0,360,3.058863
0,361,3.0454412
0,362,3.0320797
0,363,3.0187783
0,364,3.0055368
0,365,2.9923546
0,366,2.9792318
0,367,2.966168
0,368,2.9531627
0,369,2.9402158
0,370,2.9273272
0,371,2.9144962
0,372,2.901723
0,373,2.889007
0,374,2.876348
0,375,2.8637462
0,376,2.8512006
0,377,2.8387113
0,378,2.8262782
0,379,2.813901
0,380,2.801579
0,381,2.7893124
0,382,2.777101
0,383,2.764944
0,384,2.752842
0,385,2.740794
0,386,2.7288
0,387,2.71686
0,388,2.7049735
0,389,2.6931403
0,390,2.68136
0,391,2.6696327
0,392,2.657958
0,393,2.6463354
0,394,2.6347647
0,395,2.6232462
0,396,2.611779
0,397,2.6003633
0,398,2.5889988
0,399,2.577685
0,400,2.566422
0,401,2.5552094
0,402,2.544047
0,403,2.532935
0,404,2.5218723
0,405,2.5108593
0,406,2.4998956
0,407,2.488981
0,408,2.4781153
0,409,2.4672983
0,410,2.4565296
0,411,2.4458091
0,412,2.4351368
0,413,2.4245121
0,414,2.413935
0,415,2.403405
0,416,2.3929222
0,417,2.382486
0,418,2.3720968
0,419,2.361754
0,420,2.3514574
0,421,2.3412068
0,422,2.331002
0,423,2.320843
0,424,2.3107293
0,425,2.3006608
0,426,2.2906373
0,427,2.2806587
0,428,2.2707248
0,429,2.2608352
0,430,2.25099
0,431,2.2411885
0,432,2.231431
0,433,2.2217171
0,434,2.2120466
0,435,2.2024193
0,436,2.1928346
0,437,2.183293
0,438,2.1737938
0,439,2.1643372
0,440,2.1549227
0,441,2.1455503
0,442,2.1362197
0,443,2.1269307
0,444,2.1176832
0,445,2.108477
0,446,2.0993118
0,447,2.0901878
0,448,2.0811043
0,449,2.0720613
0,450,2.0630586
0,451,2.0540962
0,452,2.045174
0,453,2.0362911
0,454,2.0274482
